route,401,401_1,401_2,401_3,401_4,401_5,401_6,401_7,401_8,401_9,401_10,401_11,401_12,401_13,401_14,401_15,401_16,401_17,401_18,401_19,401_20,401_21,401_22,401_23,401_24,401_25,401_26,401_27,401_28,401_29,401_30,401_31,401_32,401_33,401_34,401_35,401_36,401_37,401_38,401_39,401_40,401_41,401_42,401_43,401_44,401_45,401_46,401_47,401_48,401_49,401_50,401_51,401_52,401_53,route_id,402,402_1,402_2,402_3,402_4,402_5,402_6,402_7,402_8,402_9,402_10,402_11,402_12,402_13,402_14,402_15,402_16,402_17,402_18,402_19,402_20,402_21,402_22,402_23,402_24,402_25,402_26,402_27,402_28,402_29,404,404_1,404_2,404_3,404_4,404_5,404_6,404_7,404_8,404_9,404_10,404_11,404_12,404_13,404_14,404_15,404_16,404_17,404_18,404_19,404_20,404_21,404_22,404_23,404_24,404_25,404_26,404_27,404_28,404_29,404_30,404_31,404_32,404_33,404_34,404_35,404_36,405,405_1,405_2,405_3,405_4,405_ssuo,405_5,405_so,405_6,405_ssuo_1,405_7,405_so_1,405_8,405_ssuo_2,405_9,405_10,405_11,405_12,405_13,405_14,405_15,405_16,405_17,405_18,405_19,405_20,405_21,405_22,405_23,405_24,405_25,405_26,405_27,405_28,405_ssuo_3,405_29,405_so_2,405_30,405_ssuo_4,405_31,405_so_3,405_32,405_ssuo_5,405_33,405_so_4,405_34,405_ssuo_6,405_35,405_so_5,405_36,405_ssuo_7,405_37,405_suo,405_38,405_suo_1,405_39,405_suo_2,405_40,405_suo_3,405_41,405_suo_4,405_42,405_suo_5,405_43,405_suo_6,405_44,407,407_1,407_2,407_3,407_4,407_5,407_6,407_7,407_8,407_9,407_10,407_11,407_12,407_13,407_14,407_15,407_16,407_17,407_18,407_19,407_20,407_21,407_22,407_23,407_24,407_25,407_26,407_27,407_28,407_29,409,409_1,409_2,409_3,409_so,409_4,409_5,409_6,409_7,409_8,409_9,409_10,409_11,409_12,409_13,409_14,409_15,409_16,409_17,409_18,409_19,409_20,409_21,409_22,409_23,409_24,409_25,409_26,409_suo,409_27,409_28,409_29,409_suo_1,409_30,409_31,409_32,409_suo_2,409_33,409_34,409_35,409_suo_3,409_36,409_37,409_38,409_suo_4,409_39,409_40,409_41,409_suo_5,409_42,409_43,409_44,409_suo_6,409_45,409_46,409_47,409_suo_7,409_48,409_49,409_50,409_suo_8,409_51,409_52,409_53,409_suo_9,409_54,409_55,409_56,409_suo_10,409_57,409_58,409_59,409_suo_11,409_60,409_61,409_62,409_suo_12,409_63,409_64,409_65,409_suo_13,409_66,409_67,409_fo,409_tho,409_so_1,409_suo_14,409_fo_1,409_68,409_69,409_70,409_suo_15,409_71,409_72,409_73,409_suo_16,409_74,409_75,409_76,409_77,409_78,409_79,409_80,409_81,409_82,409_83,409_84,409_85,409_86,409_87,409_88,409_89,409_90,409_91,409_92,409_93
Crestwood (Crestwood 48 to 62),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:52,07:24,07:54,08:23,08:54,09:23,09:54,10:23,10:54,11:23,11:54,12:23,13:00,13:27,14:00,14:27,15:00,15:27,16:00,16:27,17:03,17:30,18:03,18:30,18:59,19:24,20:24,21:24,22:24,23:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tirellan Heights (Ballinfoyle Rd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:53,07:25,07:55,08:24,08:55,09:24,09:55,10:24,10:55,11:24,11:55,12:24,13:01,13:28,14:01,14:28,15:01,15:28,16:01,16:28,17:05,17:31,18:05,18:31,19:00,19:25,20:25,21:25,22:25,23:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tirellan Hts (Tirellan Hts 344-385),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:54,07:26,07:56,08:24,08:56,09:24,09:56,10:24,10:56,11:24,11:56,12:24,13:02,13:29,14:02,14:29,15:02,15:29,16:02,16:29,17:06,17:32,18:06,18:32,19:01,19:26,20:26,21:26,22:26,23:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tirellan Heights (Headford Rd Jctn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:54,07:27,07:57,08:25,08:57,09:25,09:57,10:25,10:57,11:25,11:57,12:25,13:03,13:30,14:03,14:30,15:03,15:30,16:03,16:30,17:07,17:33,18:07,18:33,19:02,19:27,20:27,21:27,22:27,23:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Headford Rd (Church),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:55,07:27,07:57,08:26,08:57,09:26,09:57,10:26,10:57,11:26,11:57,12:26,13:04,13:31,14:04,14:31,15:04,15:31,16:04,16:31,17:07,17:34,18:07,18:34,19:03,19:28,20:28,21:28,22:28,23:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Headford Rd (Sceilig Ard),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:55,07:28,07:58,08:26,08:58,09:26,09:58,10:26,10:58,11:26,11:58,12:26,13:04,13:31,14:04,14:31,15:04,15:31,16:04,16:31,17:08,17:34,18:08,18:34,19:03,19:28,20:28,21:28,22:28,23:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bothair an Choiste (Op Baile Choiste),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:56,07:29,07:59,08:28,08:59,09:28,09:59,10:28,10:59,11:28,11:59,12:28,13:05,13:33,14:05,14:33,15:05,15:33,16:05,16:33,17:09,17:36,18:09,18:36,19:05,19:30,20:30,21:30,22:30,23:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bothair an Choiste (Murphys Centra),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:56,07:29,07:59,08:29,08:59,09:29,09:59,10:29,10:59,11:29,11:59,12:29,13:06,13:34,14:06,14:34,15:06,15:34,16:06,16:34,17:10,17:37,18:10,18:37,19:05,19:31,20:31,21:31,22:31,23:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bothair an Choiste (Cluain Riocard),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:57,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:07,13:35,14:07,14:35,15:07,15:35,16:07,16:35,17:11,17:38,18:11,18:38,19:06,19:32,20:32,21:32,22:32,23:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bothair an Choiste (Opp Maigh Riocard),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:59 D,07:32 D,08:02 D,08:31 D,09:02 D,09:31 D,10:02 D,10:31 D,11:02 D,11:31 D,12:02 D,12:31 D,13:08 D,13:36 D,14:08 D,14:36 D,15:08 D,15:36 D,16:08 D,16:36 D,17:12 D,17:39 D,18:12 D,18:39 D,19:08 D,19:33 D,20:33 D,21:33 D,22:33 D,23:33 D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eyre Square East (Stop No 8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:00 P,06:15 P,06:30 P,06:45 P,06:50 P,07:00 P,07:10 P,07:20 P,07:30 P,07:40 P,07:50 P,08:00 P,08:10 P,08:20 P,08:30 P,08:40 P,08:50 P,09:00 P,09:10 P,09:20 P,09:30 P,09:40 P,09:50 P,10:00 P,10:10 P,10:20 P,10:30 P,10:40 P,10:45 P,10:50 P,11:00 P,11:10 P,11:15 P,11:20 P,11:30 P,11:40 P,11:45 P,11:50 P,12:00 P,12:10 P,12:15 P,12:20 P,12:30 P,12:40 P,12:45 P,12:50 P,13:00 P,13:10 P,13:15 P,13:20 P,13:30 P,13:40 P,13:45 P,13:50 P,14:00 P,14:10 P,14:15 P,14:20 P,14:30 P,14:40 P,14:45 P,14:50 P,15:00 P,15:10 P,15:15 P,15:20 P,15:30 P,15:40 P,15:45 P,15:50 P,16:00 P,16:10 P,16:15 P,16:20 P,16:30 P,16:40 P,16:45 P,16:50 P,17:00 P,17:10 P,17:15 P,17:20 P,17:30 P,17:40 P,17:40 P,17:40 P,17:45 P,17:50 P,17:50 P,18:00 P,18:10 P,18:15 P,18:20 P,18:30 P,18:40 P,18:45 P,18:50 P,19:00 P,19:15 P,19:30 P,19:45 P,20:00 P,20:15 P,20:30 P,20:45 P,21:00 P,21:15 P,21:30 P,21:45 P,22:00 P,22:15 P,22:30 P,22:45 P,23:00 P,23:15 P,23:30 P
Br Brendain Ui Either (Go Bus Office),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:01,06:16,06:31,06:46,06:51,07:01,07:11,07:21,07:31,07:41,07:51,08:01,08:11,08:21,08:31,08:41,08:51,09:01,09:11,09:21,09:31,09:41,09:51,10:01,10:11,10:21,10:31,10:41,10:46,10:51,11:01,11:11,11:16,11:21,11:31,11:41,11:46,11:51,12:01,12:11,12:16,12:21,12:31,12:41,12:46,12:51,13:01,13:11,13:16,13:21,13:31,13:41,13:46,13:51,14:01,14:11,14:16,14:21,14:31,14:41,14:46,14:51,15:01,15:11,15:16,15:21,15:31,15:41,15:46,15:51,16:01,16:11,16:16,16:21,16:31,16:41,16:46,16:51,17:01,17:11,17:16,17:21,17:31,17:41,17:41,17:41,17:46,17:51,17:51,18:01,18:11,18:16,18:21,18:31,18:41,18:46,18:51,19:01,19:16,19:31,19:46,20:01,20:16,20:31,20:46,21:01,21:16,21:31,21:46,22:01,22:16,22:31,22:46,23:01,23:16,23:31
College Rd Galway (City Hall),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:02,06:17,06:32,06:47,06:52,07:03,07:12,07:22,07:33,07:43,07:53,08:03,08:13,08:23,08:33,08:43,08:53,09:03,09:12,09:22,09:33,09:43,09:53,10:03,10:13,10:23,10:33,10:43,10:48,10:53,11:03,11:13,11:18,11:23,11:33,11:43,11:48,11:53,12:03,12:13,12:18,12:23,12:33,12:43,12:48,12:53,13:03,13:13,13:18,13:23,13:33,13:43,13:48,13:53,14:03,14:13,14:18,14:23,14:33,14:43,14:48,14:53,15:03,15:14,15:18,15:23,15:33,15:43,15:48,15:53,16:03,16:13,16:18,16:24,16:33,16:44,16:48,16:54,17:03,17:14,17:18,17:24,17:33,17:44,17:44,17:42,17:48,17:53,17:53,18:03,18:13,18:18,18:23,18:33,18:43,18:48,18:53,19:03,19:18,19:33,19:48,20:03,20:18,20:33,20:48,21:03,21:18,21:33,21:48,22:03,22:18,22:33,22:48,23:03,23:18,23:33
College Rd Galway (Sportsground),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:03,06:18,06:33,06:48,06:53,07:04,07:13,07:23,07:34,07:44,07:54,08:04,08:14,08:24,08:34,08:44,08:54,09:04,09:13,09:23,09:34,09:44,09:54,10:04,10:14,10:24,10:34,10:44,10:49,10:54,11:04,11:14,11:19,11:24,11:34,11:44,11:49,11:54,12:04,12:14,12:19,12:24,12:34,12:44,12:49,12:54,13:04,13:14,13:19,13:24,13:34,13:44,13:49,13:55,14:04,14:14,14:19,14:24,14:34,14:44,14:49,14:54,15:04,15:18,15:19,15:25,15:34,15:45,15:49,15:55,16:04,16:15,16:19,16:29,16:34,16:49,16:49,16:59,17:04,17:19,17:19,17:29,17:34,17:48,17:48,17:43,17:49,17:54,17:54,18:04,18:15,18:19,18:24,18:34,18:44,18:49,18:54,19:04,19:19,19:34,19:49,20:04,20:19,20:34,20:49,21:04,21:19,21:34,21:49,22:04,22:19,22:34,22:49,23:04,23:19,23:34
College Rd Galway (Loyola Park),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:04,06:19,06:34,06:49,06:53,07:04,07:14,07:24,07:34,07:45,07:55,08:04,08:15,08:25,08:34,08:45,08:55,09:04,09:14,09:24,09:34,09:44,09:54,10:04,10:14,10:24,10:34,10:44,10:49,10:54,11:04,11:15,11:19,11:25,11:34,11:45,11:49,11:55,12:04,12:15,12:19,12:25,12:34,12:45,12:49,12:55,13:04,13:15,13:19,13:25,13:34,13:45,13:49,13:56,14:04,14:15,14:19,14:25,14:34,14:45,14:49,14:55,15:04,15:19,15:19,15:26,15:34,15:46,15:49,15:56,16:04,16:16,16:19,16:31,16:34,16:51,16:49,17:01,17:04,17:21,17:19,17:31,17:34,17:49,17:49,17:43,17:49,17:55,17:55,18:04,18:16,18:19,18:25,18:34,18:45,18:49,18:55,19:04,19:19,19:34,19:49,20:04,20:19,20:34,20:49,21:04,21:19,21:34,21:49,22:04,22:19,22:34,22:49,23:04,23:19,23:34
Dublin Rd (G Hotel),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:05,06:20,06:35,06:51,06:55,07:05,07:16,07:26,07:35,07:47,07:57,08:05,08:17,08:27,08:35,08:47,08:57,09:05,09:16,09:26,09:35,09:47,09:57,10:05,10:17,10:27,10:35,10:47,10:50,10:57,11:06,11:17,11:21,11:27,11:36,11:47,11:51,11:57,12:06,12:17,12:21,12:27,12:36,12:47,12:51,12:58,13:06,13:18,13:21,13:28,13:36,13:48,13:51,14:00,14:06,14:18,14:21,14:28,14:36,14:48,14:51,14:58,15:06,15:23,15:21,15:31,15:36,15:51,15:51,16:01,16:06,16:20,16:21,16:35,16:36,16:56,16:51,17:06,17:06,17:25,17:21,17:35,17:36,17:53,17:53,17:46,17:51,17:57,17:57,18:06,18:20,18:21,18:28,18:36,18:48,18:51,18:57,19:06,19:21,19:36,19:51,20:06,20:21,20:36,20:51,21:06,21:21,21:36,21:51,22:05,22:20,22:35,22:50,23:05,23:20,23:35
Dublin Rd (Opp Renmore Park),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:06,06:21,06:36,06:52,06:56,07:06,07:17,07:27,07:36,07:48,07:58,08:06,08:18,08:28,08:36,08:48,08:58,09:06,09:17,09:27,09:36,09:48,09:58,10:06,10:18,10:28,10:36,10:48,10:51,10:58,11:07,11:18,11:22,11:28,11:37,11:48,11:52,11:58,12:07,12:18,12:22,12:28,12:37,12:48,12:52,12:59,13:07,13:19,13:22,13:29,13:37,13:49,13:52,14:01,14:07,14:19,14:22,14:29,14:37,14:49,14:52,14:59,15:07,15:24,15:22,15:32,15:37,15:52,15:52,16:02,16:07,16:22,16:22,16:37,16:37,16:57,16:52,17:07,17:07,17:27,17:22,17:37,17:37,17:54,17:54,17:47,17:52,17:58,17:58,18:07,18:21,18:22,18:29,18:37,18:49,18:52,18:58,19:07,19:22,19:37,19:52,20:07,20:22,20:37,20:52,21:07,21:22,21:37,21:52,22:06,22:21,22:36,22:51,23:06,23:21,23:36
Dublin Rd (Glenina Heights),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:07,06:22,06:37,06:53,06:56,07:07,07:18,07:28,07:37,07:49,07:59,08:07,08:20,08:30,08:37,08:49,08:59,09:07,09:18,09:28,09:37,09:49,09:59,10:07,10:19,10:29,10:37,10:49,10:52,10:59,11:08,11:19,11:23,11:29,11:38,11:50,11:53,12:00,12:08,12:20,12:23,12:30,12:38,12:50,12:53,13:00,13:08,13:20,13:23,13:30,13:38,13:50,13:53,14:02,14:08,14:21,14:23,14:31,14:38,14:51,14:53,15:01,15:08,15:26,15:23,15:34,15:38,15:54,15:53,16:04,16:08,16:24,16:23,16:39,16:38,17:00,16:53,17:10,17:08,17:29,17:23,17:39,17:38,17:56,17:56,17:48,17:53,18:00,18:00,18:08,18:22,18:23,18:30,18:38,18:50,18:53,18:59,19:08,19:23,19:38,19:53,20:08,20:23,20:38,20:53,21:08,21:23,21:38,21:53,22:07,22:22,22:37,22:52,23:07,23:22,23:37
Dublin Rd (Opp Dawn Dairies),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:07,06:22,06:37,06:54,06:57,07:08,07:19,07:29,07:38,07:51,08:01,08:08,08:21,08:31,08:38,08:51,09:01,09:08,09:19,09:29,09:38,09:51,10:00,10:08,10:20,10:30,10:38,10:50,10:53,11:00,11:09,11:21,11:24,11:31,11:39,11:51,11:54,12:01,12:09,12:21,12:24,12:31,12:39,12:51,12:54,13:02,13:09,13:22,13:24,13:32,13:39,13:52,13:54,14:04,14:09,14:23,14:24,14:33,14:39,14:53,14:54,15:03,15:09,15:29,15:24,15:37,15:39,15:57,15:54,16:07,16:09,16:26,16:24,16:42,16:39,17:03,16:54,17:13,17:09,17:32,17:24,17:42,17:39,17:59,17:59,17:49,17:54,18:01,18:01,18:09,18:24,18:24,18:32,18:39,18:52,18:54,19:01,19:09,19:24,19:39,19:54,20:09,20:24,20:39,20:54,21:09,21:24,21:39,21:54,22:08,22:23,22:38,22:53,23:08,23:23,23:38
ATU Galway City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:08,06:23,06:38,06:55,06:57,07:09,07:20,07:30,07:39,07:52,08:02,08:09,08:23,08:33,08:39,08:52,09:02,09:09,09:20,09:30,09:39,09:52,10:01,10:09,10:21,10:31,10:39,10:51,10:54,11:01,11:10,11:22,11:25,11:32,11:40,11:52,11:55,12:02,12:10,12:22,12:25,12:32,12:40,12:52,12:55,13:03,13:10,13:23,13:25,13:33,13:40,13:53,13:55,14:06,14:10,14:25,14:25,14:35,14:40,14:55,14:55,15:05,15:10,15:31,15:25,15:40,15:40,16:00,15:55,16:10,16:10,16:29,16:25,16:45,16:40,17:06,16:55,17:16,17:10,17:35,17:25,17:45,17:40,18:01,18:01,17:50,17:55,18:03,18:03,18:10,18:26,18:25,18:33,18:40,18:53,18:55,19:02,19:10,19:25,19:40,19:55,20:10,20:25,20:40,20:55,21:10,21:25,21:40,21:55,22:09,22:24,22:39,22:54,23:09,23:24,23:39
Dublin Rd (Opp Galway Crystal Jctn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:10,06:25,06:40,06:57,06:59,07:11,07:22,07:32,07:41,07:54,08:04,08:11,08:25,08:35,08:41,08:54,09:04,09:11,09:22,09:32,09:41,09:54,10:03,10:11,10:23,10:33,10:41,10:53,10:56,11:03,11:12,11:24,11:27,11:34,11:42,11:54,11:57,12:04,12:12,12:24,12:27,12:34,12:42,12:54,12:57,13:05,13:12,13:25,13:27,13:35,13:42,13:55,13:57,14:09,14:12,14:27,14:27,14:37,14:42,14:57,14:57,15:07,15:12,15:34,15:27,15:43,15:42,16:03,15:57,16:13,16:12,16:32,16:27,16:48,16:42,17:10,16:57,17:20,17:12,17:38,17:27,17:48,17:42,18:04,18:04,17:52,17:57,18:05,18:05,18:12,18:29,18:27,18:35,18:42,18:55,18:57,19:04,19:12,19:27,19:42,19:57,20:12,20:27,20:42,20:57,21:12,21:27,21:42,21:57,22:11,22:26,22:41,22:56,23:11,23:26,23:41
